,Address,Latitude,Longitude,Zone,Total Distance
0,"Connaught Place, Delhi",28.6314022,77.2193791,2,44.21
1,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,44.21
2,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,44.21
3,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,44.21
4,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,44.21
5,"1, Delhi 122001",28.5998993,77.20617580273222,2,44.21
6,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,44.21
7,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,44.21
8,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,44.21
9,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,44.21
10,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,44.21
11,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,44.21
12,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,44.21
13,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,44.21
14,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,44.21
15,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,44.21
16,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,44.21
17,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,44.21
18,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,44.21
19,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,44.21
20,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,44.21
21,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,44.21
22,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,44.21
23,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,44.21
24,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,44.21
25,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,44.21
26,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,44.21
27,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,44.21
28,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,44.21
29,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,44.21
30,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,44.21
31,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,44.21
32,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,44.21
33,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,44.21
34,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,44.21
35,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,44.21
36,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,44.21
37,"Connaught Place, Delhi",28.6314022,77.2193791,2,44.21
