,Address,Latitude,Longitude,Zone,Page,Total Distance,Order
0,"Connaught Place, Delhi",28.6314022,77.2193791,2,0,150.08,0
1,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,0,150.08,1
2,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,0,150.08,2
3,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,0,150.08,3
4,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,0,150.08,4
5,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,0,150.08,5
6,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,0,150.08,6
7,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,0,150.08,7
8,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,0,150.08,8
9,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,0,150.08,9
10,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,0,150.08,10
11,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,0,150.08,11
12,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,0,150.08,12
13,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,0,150.08,13
14,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,0,150.08,14
15,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,0,150.08,15
16,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,0,150.08,16
17,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,0,150.08,17
18,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,0,150.08,18
19,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,0,150.08,19
20,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,0,150.08,20
21,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,0,150.08,21
22,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,0,150.08,22
23,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,0,150.08,23
24,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,0,150.08,24
25,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,0,150.08,25
26,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,0,150.08,26
27,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,0,150.08,27
28,"1, Delhi 122001",28.5998993,77.20617580273222,2,0,150.08,28
29,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,0,150.08,29
30,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,0,150.08,30
31,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,0,150.08,31
32,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,0,150.08,32
33,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,0,150.08,33
34,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,0,150.08,34
35,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,0,150.08,35
36,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,0,150.08,36
37,"Connaught Place, Delhi",28.6314022,77.2193791,2,1,146.94,0
38,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,1,146.94,1
39,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,1,146.94,2
40,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,1,146.94,3
41,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,1,146.94,4
42,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,1,146.94,5
43,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,1,146.94,6
44,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,1,146.94,7
45,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,1,146.94,8
46,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,1,146.94,9
47,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,1,146.94,10
48,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,1,146.94,11
49,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,1,146.94,12
50,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,1,146.94,13
51,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,1,146.94,14
52,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,1,146.94,15
53,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,1,146.94,16
54,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,1,146.94,17
55,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,1,146.94,18
56,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,1,146.94,19
57,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,1,146.94,20
58,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,1,146.94,21
59,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,1,146.94,22
60,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,1,146.94,23
61,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,1,146.94,24
62,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,1,146.94,25
63,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,1,146.94,26
64,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,1,146.94,27
65,"1, Delhi 122001",28.5998993,77.20617580273222,2,1,146.94,28
66,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,1,146.94,29
67,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,1,146.94,30
68,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,1,146.94,31
69,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,1,146.94,32
70,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,1,146.94,33
71,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,1,146.94,34
72,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,1,146.94,35
73,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,1,146.94,36
74,"Connaught Place, Delhi",28.6314022,77.2193791,2,2,146.37,0
75,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,2,146.37,1
76,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,2,146.37,2
77,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,2,146.37,3
78,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,2,146.37,4
79,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,2,146.37,5
80,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,2,146.37,6
81,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,2,146.37,7
82,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,2,146.37,8
83,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,2,146.37,9
84,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,2,146.37,10
85,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,2,146.37,11
86,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,2,146.37,12
87,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,2,146.37,13
88,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,2,146.37,14
89,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,2,146.37,15
